pk,shortcode,url,type,format,carousel_count,datetime_utc,date,time,day_of_week,iso_week,month,caption_length,hashtag_count,likes,comments,views,interactions,engagement_per_view,caption
3530622006149797037,DD_SgIwvFSt,https://www.instagram.com/p/DD_SgIwvFSt/,post,image,,2024-12-25T05:02:42Z,2024-12-25,16:02,Wednesday,2024-W52,2024-12,627,26,55,1,,56,,"Merry Xmas to all MoMUians!! 🎅🌲Whether you celebrating home with family in Malaysia or with friends in Melbourne, we hope you enjoy a day filled with splendid joy and laughter 🤍 Finger’s crossed none of us are on Santa’s naughty list this year 🤭🤞🏻  #momuians #lifeatunimelb #unimelb #melbourneuni #melbourneuniversity #universityofmelbourne #australiauniversity #studentlife #unilife #melbuni #campuslife #studyinaustralia #studyinmelbourne #aussielife #melbournelife #australian #melbournelifestyle #melbournecbd #malaysian #malaysia #malaysiaboleh #malaysiatrending #rmit #rmituniversity #monashuniversity #victoriauniversity"
3531536082430495725,DECiVsovovt,https://www.instagram.com/p/DECiVsovovt/,post,image,,2024-12-26T11:18:49Z,2024-12-26,22:18,Thursday,2024-W52,2024-12,799,27,25,0,,25,,"Invite your friends to stay at Y Suites on A'Beckett and earn a $250 e-gift card for every successful referral! There's no limit to how many friends you can refer, so start sharing the love today!  Conveniently located at 183 A’Beckett Street, Melbourne, VIC 3000, Y Suites is close to major universities and offers top-notch amenities designed for your comfort.  Don’t miss out—refer now and enjoy the rewards!  #momuians #lifeatunimelb #unimelb #melbourneuni #melbourneuniversity #universityofmelbourne #australiauniversity #studentlife #unilife #melbuni #campuslife #studyinaustralia #studyinmelbourne #aussielife #melbournelife #australian #melbournelifestyle #melbournecbd #malaysian #malaysia #malaysiaboleh #malaysiatrending #rmit #rmituniversity #monashuniversity #victoriauniversity#ysuites"
3535083021236032933,DEPI0c0SdWl,https://www.instagram.com/reel/DEPI0c0SdWl/,reel,video,,2024-12-31T08:45:57Z,2024-12-31,19:45,Tuesday,2025-W01,2024-12,0,0,76,2,4515,78,0.0173,
3548169936280881130,DE9ocIOvgfq,https://www.instagram.com/p/DE9ocIOvgfq/,post,carousel,2,2025-01-18T10:07:19Z,2025-01-18,21:07,Saturday,2025-W03,2025-01,947,26,57,3,,60,,HEY MOMUAINS! 👑   Hope everyone is having a well rested break from uni. Nevertheless it’s never too early to start thinking about the future 🌠🛤️ MoMU is back again with Graduan to present to you the biggest and best career networking fair ever!! Happening on the 15th February at Aloft Kuala Lumpur 💫   This is a great opportunity for undergrads and graduates alike to gain some meaningful connections and lifelong career knowledge 🤍What are you waiting for?? Register now through the link in our bio 🖇️  Details 🌟  Venue: Aloft Kuala Lumpur  Date: 15th February 2025  #momuians #lifeatunimelb #unimelb #melbourneuni #melbourneuniversity #universityofmelbourne #australiauniversity #studentlife #unilife #melbuni #campuslife #studyinaustralia #studyinmelbourne #aussielife #melbournelife #australian #melbournelifestyle #melbournecbd #malaysian #malaysia #malaysiaboleh #malaysiatrending #rmit #rmituniversity #monashuniversity #victoriauniversity
3553902320750770546,DFR_1TSyTly,https://www.instagram.com/reel/DFR_1TSyTly/,reel,video,,2025-01-26T07:56:32Z,2025-01-26,18:56,Sunday,2025-W04,2025-01,0,0,58,7,2690,65,0.0242,
3555955601647104374,DFZSseJPHF2,https://www.instagram.com/p/DFZSseJPHF2/,post,image,,2025-01-29T03:56:02Z,2025-01-29,14:56,Wednesday,2025-W05,2025-01,350,12,58,1,,59,,Gong Xi Fa Cai MoMUians!! 🧧🏮Wishing everyone a new lunar year filled with endless fortune and happiness 🌟✨ Remember to take this holiday to spend some quality time and show gratitude to your loved ones 🤍🤍  #cny #lunarnewyear #universityofmelbourne #momuians #momu #unimelb #lifeatunimelb #melbourne #malaysia #yearofthesnake #gongxifacai #explorepage
3556893786292120772,DFcoA2rvGzE,https://www.instagram.com/reel/DFcoA2rvGzE/,reel,video,,2025-01-30T11:00:02Z,2025-01-30,22:00,Thursday,2025-W05,2025-01,0,0,97,6,2734,103,0.0377,
3559812928225811570,DFm_v9dvhxy,https://www.instagram.com/reel/DFm_v9dvhxy/,reel,video,,2025-02-03T11:39:51Z,2025-02-03,22:39,Monday,2025-W06,2025-02,0,0,86,10,4227,96,0.0227,
3561966818690025544,DFupfMRv0hI,https://www.instagram.com/reel/DFupfMRv0hI/,reel,video,,2025-02-06T10:59:15Z,2025-02-06,21:59,Thursday,2025-W06,2025-02,0,0,64,2,4909,66,0.0134,
3562632798232634204,DFxA6eDz-Nc,https://www.instagram.com/p/DFxA6eDz-Nc/,post,image,,2025-02-07T09:02:26Z,2025-02-07,20:02,Friday,2025-W06,2025-02,936,12,82,0,,82,,"PSA: MoMU’s S.O.S party is finally here and we can’t wait to see you there‼️ To all our fellow MoMUians especially freshmen grab this opportunity to have a fun night out with your friends and get to know them better over some drinks 🍷🤓 And don’t forget to pull out your best dance moves on the dance floor🕺🌟  So what are you waiting for?? Get your tickets NOW to the biggest start of semester party of 2025!! ☝️☝️ Purchase fast to enjoy early bird pricing while it lasts 🤩🤩  🚨 Purchase your tickets through the link in our bio 🖇️  Details:  💵 Price: EARLY BIRD TICKETS AVAILABLE NOW at only $25   🎫 Entry: Ticket Validity is from 8pm to 9.30pm but buyers can stay till late (NOTE: for any entry after 9.30pm, tickets need to be repurchased at the door)   📍 Location: District 1   #malaysia #malaysiansinmelbourne #melbourneuni #unimelb #universityofmelbourne #orientationparty #nightout #university #momuians #drinks #party #explorepage"
3564824773193945560,DF4zT50vNHY,https://www.instagram.com/reel/DF4zT50vNHY/,reel,video,,2025-02-10T09:37:29Z,2025-02-10,20:37,Monday,2025-W07,2025-02,0,0,73,0,4174,73,0.0175,
3566233669964022538,DF9zqDMPkMK,https://www.instagram.com/p/DF9zqDMPkMK/,post,image,,2025-02-12T08:16:43Z,2025-02-12,19:16,Wednesday,2025-W07,2025-02,743,12,82,1,,83,,"R U READY FOR SOTONG GAMES 🦑🎮‼️  If your new in Melbourne and looking to find some new friends  join us for an afternoon of fun activities on the 2nd of March 😉   ⚠️ Important: ✔️ Be prepared for physical/outdoor activities🏃‍♀️ ✔️ Wear activewear & closed shoes 👟 ✔️ Bring extra clothes if you don’t wanna stay sweaty! 😆  ⏳️2nd March, 1PM - 5PM 📍 Market Hall, South Lawn 💲 Only $10 for members and $15 for non members   PSSTTT.. WORK HARD PLAY HARD 💪 the winning team will have a chance to score AMAZING prizes 🎁   So there is no time to waste, sign up now through the link in our bio 🖇️🖇️  #squidgame #universityofmelbourne #unimelb #explorepage #malaysians #malaysiansinmelbourne #orientation #trendy #melbourneuni #melbourne #momuians #momu"
3568432694587588190,DGFnqEdyH5e,https://www.instagram.com/reel/DGFnqEdyH5e/,reel,video,,2025-02-15T09:05:47Z,2025-02-15,20:05,Saturday,2025-W07,2025-02,0,0,79,1,8828,80,0.0091,
